,num_people,generic_name,event_type,event_location,manufacturer
3069,1,,Malfunction,,BOSTON SCIENTIFIC
3073,1,"INFUSION CATHETER, PICC",Malfunction,,SORIN GROUP DEUTSCHLAND
3074,1,"GENERATOR, OXYGEN, PORTABLE",Malfunction,NO INFORMATION,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
3075,1,INSULIN INFUSION PUMP,Malfunction,,VERTEBRAL TECHNOLOGIES INC.
3077,1,,Malfunction,,KIMBERLY-CLARK HEALTH CARE
3078,1,FLUOROSCOPIC X-RAY,Malfunction,,MEDTRONIC
3079,1,BLOOD GLUCOSE MONITORING KIT/SYSTEM,Malfunction,NOT APPLICABLE,ETHICON
3081,1,CLIP APPLIERS - CONVENTIONAL,Malfunction,NOT APPLICABLE,ETHICON
3082,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,ABBOTT LABORATORIES
3084,1,SUTURE MEDIATED CLOSURE,Injury,,ROSS PRODUCTS DIVISION
3085,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MICROTYPING SYSTEMS
3086,1,IMPLANTABLE LEAD,Malfunction,HOSPITAL,ETHICON
3088,1,MDS,Malfunction,I,FISHER & PAYKEL
3089,1,CES MICROCATHETERS (KRA),Malfunction,,BAXTER HEALTHCARE
3094,1,ENDOSCOPIC INSTRUMENT CONTROL SYSTEM,Other,HOSPITAL,COSTA RICA
3095,1,HOMECHOICE CASSETTE,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
3098,1,CORE BIOPSY SYSTEM,Malfunction,HOSPITAL,MEDTRONIC
3099,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,I,PHILIPS MEDICAL SYSTEMS
3100,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,AV-TEMECULA-CT
3101,1,,Malfunction,,MEDTRONIC
3102,1,INSULIN PUMP,Malfunction,I,ETHICON
3103,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,ST. JUDE MEDICAL INC. CRMD
3104,1,"DEFIBRILLATOR, AUTOMATIC IMPLANTABLE CARDIOVERTER, WITH CARDIAC RESYNCHRONIZATIO",Injury,I,BAXTER HEALTHCARE
3105,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Injury,,MAQUET CARDIOVASCULAR
3106,1,890.3825,No answer provided,,CONMED
3107,1,FLUOROSCOPIC X-RAY,Malfunction,,"ALCON INDUSTRIES, INC."
3108,1,DEFIBRILLATION LEAD,Malfunction,HOSPITAL,ABBOTT DIABETES CARE
3109,1,CLIP APPLIER,Malfunction,NOT APPLICABLE,MEDTRONIC
3110,1,OZO,Malfunction,,SYNTHES (USA)
3111,1,,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
3112,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,BAXTER HEALTHCARE
3113,1,"MOTOR, DRILL, ELECTRIC-HANDPIECE",Malfunction,,GUIDANT
3115,1,IMPLANTABLE ATRIAL GENERATOR,Malfunction,HOSPITAL,GE OEC MEDICAL SYSTEMS
3117,1,CIRCULAR STAPLERS,Injury,NOT APPLICABLE,DEPUY SYNTHES
3119,1,DRUG COATED STENT,Malfunction,,SYNTHES - MONUMENT
3120,1,"CATHETERS, TRANSLUMINAL CORONARY ANGIOPLASTY, PERCUTANEOUS",Malfunction,I,GE OEC MEDICAL SYSTEMS
3121,1,WEARABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,,"PENUMBRA, INC."
3122,1,DEFIBRILLATION LEAD,Injury,I,MEDTRONIC
3123,1,INFUSION PUMP,Malfunction,,STRYKER
3124,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,BAXTER HEALTHCARE
3126,1,SHOWER CHAIR/COMMODE,Malfunction,NURSING HOME,ALCON - IRVINE TECHNOLOGY CENTER
3127,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,BAXTER HEALTHCARE
3128,1,,Malfunction,,ST JUDE MEDICAL - NEUROMODULATION
3129,1,"ENDOSCOPIC INSTRUMENT CONTROL SYSTEM, NAY",Other,,MENTOR CORP.
3130,1,ARTHROSCOPE,Injury,I,MEDTRONIC
3131,1,DIALYSATE CONCENTRATE FOR HEMODIALYSIS (LIQUID OR POWDER),Malfunction,,"INTUITIVE SURGICAL, INC"
3134,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,HEARTSINE TECHNOLOGIES LTD
3135,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,CARDIAC PACEMAKERS
3136,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,"ENCORE MEDICAL, L.P."
3137,1,FLUOROSCOPIC X-RAY,Malfunction,,STRYKER
3138,1,INTRAOCULAR LENS GUIDE,Injury,,MEDTRONIC
3140,1,"TRANSDUCER, PRESSURE, CATHETER TIP",Malfunction,I,MEDTRONIC
3141,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Injury,,ETHICON
3142,1,SCS LEAD,Injury,,SIZEWISE
3146,1,LIGASURE VESSEL SEALING SYSTEM,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
3147,1,DISCRETE PHOTOMETRIC CHEMISTRY ANALYZER FOR CLINICAL USE,Malfunction,,ROCHE DIAGNOSTICS
3148,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,INVACARE TAYLOR STREET
3149,1,BLOOD GLUCOSE MONITORING TEST STRIPS,Malfunction,U,BAXTER HEALTHCARE
3150,1,ARTHROSCOPY PUMP,Malfunction,,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
3151,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,DEXCOM INC
3153,1,PROGRAMMER,Malfunction,HOSPITAL,HILL-ROM INC
3155,1,BLOOD GLUCOSE MONITORING TEST STRIPS-LFR,Malfunction,OTHER,BOSTON SCIENTIFIC
3156,1,IMPLANTABLE PULSE GENERATOR,Injury,HOSPITAL,MEDTRONIC
3157,1,INSULIN INFUSION PUMP,Malfunction,,BAXTER HEALTHCARE
3158,1,FLUOROSCOPIC X-RAY,Malfunction,,BAXTER HEALTHCARE
3159,1,INFUSION PUMP,Malfunction,,INVACARE FLORIDA OPERATIONS
3160,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,BAXTER HEALTHCARE
3161,1,DENTAL HANDPIECE,Malfunction,,ROCHE DIAGNOSTICS
3162,1,AUTOMATED EXTERNAL DEFIBRILATOR,Malfunction,I,BOSTON SCIENTIFIC
3163,1,IMPLANTABLE PULSE GENERATOR,Malfunction,,ANIMAS CORPORATION
3165,1,GLUCOSE MONITORING SYS/KIT,Malfunction,NOT APPLICABLE,CARDIAC PACEMAKERS
3168,1,INFUSION PUMP,Malfunction,,MDT PUERTO RICO OPERATIONS CO
3169,1,,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
3172,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,ANIMAS CORPORATION
3175,1,INTRAOCULAR LENS,Other,,CPI - DEL CARIBE
3176,1,INFUSION PUMP,Malfunction,,CONMED
3179,1,"AORTIC VALVE, PROSTHESIS, PERCUTANEOUSLY DELIVERED",Malfunction,HOSPITAL,LINVATEC CORP.
3180,1,TROCAR,Malfunction,NOT APPLICABLE,BECKMAN COULTER
3181,1,"DRILL, SURGICAL, ENT (ELECTRIC OR PNEUMATIC) INCLUDING HANDPIECE",Malfunction,I,ANIMAS CORPORATION
3184,1,INFUSION PUMP,Malfunction,,PHILIPS MEDICAL SYSTEMS
3186,1,,Malfunction,OTHER,INVACARE FLORIDA OPERATIONS
3187,1,MDS,Malfunction,I,GUIDANT
3188,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,"BARD PERIPHERAL VASCULAR SYSTEM, INC."
3189,1,890.3100,No answer provided,,ST. JUDE MEDICAL INC. CRMD
3191,1,PTA CATHETERS (LIT),Injury,,CPI - DEL CARIBE
3192,1,NUCLEUS MANIPULATOR,Malfunction,HOSPITAL,STRYKER
3193,1,"STIMULATOR, ELECTRICAL, IMPLANTABLE, FOR INCONTINENCE",Malfunction,,DEPUY SYNTHES
3194,1,NA,Injury,NOT APPLICABLE,AV-TEMECULA-CT
3197,1,MAMMARY IMPLANT,Injury,HOSPITAL,ABBOTT DIABETES CARE
3198,1,E SERIES,Malfunction,,BIOENTERICS CORPORATION
3199,1,"MOTOR, DRILL, ELECTRIC - ATTACHMENT",Malfunction,,BAXTER HEALTHCARE
3200,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,ABBOTT LABORATORIES
3201,1,DEFIBRILLATOR,Malfunction,,MDT PUERTO RICO OPERATIONS CO
3202,1,"LAPAROSCOPE, GENERAL AND PLASTIC SURGERY",Malfunction,,PURITAN BENNETT CORP
3203,1,,Malfunction,OTHER,PHILIPS MEDICAL SYSTEMS
3204,1,VCARE UTERINE MANIPULATOR,Malfunction,,ETHICON
3205,1,IMPLANTABLE CLIP,Injury,I,SMITH & NEPHEW
3207,1,INTRAOCULAR LENS,Malfunction,,TELEFLEX MEDICAL
3208,1,,Injury,,MEDTRONIC
3209,1,SAMPLE PIPETTER,Malfunction,INVALID DATA,DEXCOM INC
3210,1,SYSTEM 83 PLUS,Malfunction,,STRYKER
3211,1,"ANALYZER, CHEMISTRY (PHOTOMETRIC, DISCRETE), FOR CLINICAL USE",Malfunction,,DEXCOM INC
3212,1,INFUSION PUMP,Malfunction,,ROCHE DIAGNOSTICS
3213,1,CATH,Other,UNKNOWN,BAXTER HEALTHCARE
3214,1,AMBULANCE COT,Injury,NOT APPLICABLE,MEDTRONIC
3215,1,,Malfunction,,MEDTRONIC
3217,1,IMMUNODIAGNOSTIC ANALYZER,Malfunction,,FISHER & PAYKEL
3219,1,,Malfunction,,MEDTRONIC
3221,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,BOSTON SCIENTIFIC
3222,1,OCCLUSION BALLOON CATHETER,Injury,HOSPITAL,DEXCOM INC
3224,1,OZO,Malfunction,,MDT PUERTO RICO OPERATIONS CO
3225,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,DEPUY WARSAW
3226,1,HOSPITAL WHEELED STRETCHER,Malfunction,,"JIANGSU YUYUE MEDICAL EQUIPMENT & SUPPLY CO., LTD"
3231,1,PULSE OXIMETRY CABLE,Malfunction,,BAXTER HEALTHCARE
3232,1,FLUOROSCOPIC X-RAY,Malfunction,,SYNTHES TUTTLINGEN
3233,1,SUCTION IRRIGATOR,Malfunction,,MEDTRONIC
3234,1,BZE,Malfunction,,ROCHE DIAGNOSTICS
3235,1,"HEART-VALVE, NON-ALLOGRAFT TISSUE",Malfunction,,INVACARE FLORIDA OPERATIONS
3236,1,IMPLANTABLE PACING LEAD,Injury,HOSPITAL,MDT PUERTO RICO OPERATIONS CO
3237,1,"INSTRUMENT, ULTRASONIC SURGICAL",Malfunction,I,V. MUELLER
3238,1,INTRAOCULAR LENS,Malfunction,,TERUMO CARDIOVASCULAR SYSTEM CORP.
3240,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,"PHYSIO-CONTROL, INC"
3241,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,CONSMA
3242,1,"STENT, CORONARY",Malfunction,,DEXCOM INC
3243,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,ROCHE INSULIN DELIVERY SYSTEMS INC.
3244,1,"PROGRAMMER, PACEMAKER",Malfunction,,BAXTER HEALTHCARE
3246,1,INSULIN PUMP,Malfunction,I,BAXTER HEALTHCARE
3247,1,TROCAR,Malfunction,NOT APPLICABLE,GUIDANT
3248,1,INFUSION PUMP,Malfunction,,ETHICON
3250,1,"VENTILATOR, CONTINUOUS, FACILITY USE",Injury,I,SULZER VASCUTEK LTD.
3251,1,INSULIN INFUSION PUMP,Malfunction,I,DEXCOM INC
3252,1,"PUMP, INFUSION",Malfunction,,INVACARE TAYLOR STREET
3253,1,ENDOSCOPIC VESSEL HARVESTING,Malfunction,,ABBOTT POINT OF CARE INC.
3254,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,"ST. JUDE MEDICAL, INC.(CRM-SYLMAR)"
3255,1,FLUOROSCOPIC X-RAY,Malfunction,,"WELCH ALLYN PROTOCOL, INC."
3256,1,HOSPITAL WHEELED STRETCHER,Malfunction,,UNITED STATES SURICAL CORPORATION
3259,1,A/C POWERED HOSPITAL BED,Malfunction,,CORDIS DE MEXICO
3260,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,MEDTRONIC
3261,1,"INSTRUMENT, SURGICAL, ORTHOPEDIC, DC-POWERED MOTOR",Malfunction,,MAQUET CARDIOVASCULAR
3263,1,,Malfunction,,MEDTRONIC
3264,1,HIP FEMORAL STEM/SLEEVE,Injury,I,ROCHE DIAGNOSTICS
3265,1,,Malfunction,OTHER,MEDTRONIC
3266,1,ORTHOPEDIC MANUAL SURGICAL INSTRUMENT,Malfunction,,ETHICON
3267,1,PICTURE ARCHIVING AND COMMUNICATION,Malfunction,,ZOLL
3269,1,"VENTILATOR, NON-CONTINUOUS (RESPIRATOR)",Malfunction,,ANIMAS CORPORATION
3270,1,80FRN,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
3271,1,INSULIN INFUSION PUMP,Malfunction,,GE OEC MEDICAL SYSTEMS
3272,1,INSULIN INFUSION PUMP,Malfunction,,ABBOTT VASCULAR
3274,1,"DEFIBRILLATOR, AUTOMATIC IMPLANTABLE CARDIOVERTER",Injury,,BOSTON SCIENTIFIC
3275,1,INSULIN INFUSION PUMP,Malfunction,I,DISETRONIC MEDICAL SYSTEMS
3276,1,"DRILL, SURGICAL, ENT (PNEUMATIC) - HANDPIECE",Malfunction,I,HEARTSINE TECHNOLOGIES LTD
3277,1,IMPLANTABLE LEAD,Injury,HOSPITAL,"MINDRAY DS USA, INC"
3278,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,BOSTON SCIENTIFIC
3279,1,INFUSION PUMP,Malfunction,,ETHICON
3280,1,868.5440,Malfunction,,DEXCOM INC
3281,1,890.5050,Malfunction,,GE OEC MEDICAL SYSTEMS
3282,1,"BED, AIR FLUIDIZED",Malfunction,,ST. JUDE MEDICAL INC. CRMD
3283,1,INSULIN INFUSION PUMP,Malfunction,,BAXTER HEALTHCARE
3284,1,"PUMP, INFUSION",Malfunction,,"PULMONETIC SYSTEMS, INC."
3285,1,,Malfunction,,A/O SYNTHES
3286,1,,Malfunction,,"ALERE SAN DIEGO, INC"
3287,1,INSULIN INFUSION PUMP,Malfunction,,SANTO DOMINGO - USS
3290,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,ABBOTT MEDICAL OPTICS
3293,1,INTRAOCULAR LENS GUIDE,Malfunction,,DEPUY ORTHOPAEDICS INC
3294,1,"DEFIBRILLATOR, AUTOMATIC IMPLANTABLE CARDIOVERTER, WITH CARDIAC RESYNCHRONIZATIO",Injury,HOSPITAL,HOSPIRA
3295,1,OPHTHALMIC SURGERY SYSTEM,Malfunction,,ANIMAS CORPORATION
3296,1,"MAF STENT, CORONARY",Injury,,SIEMENS-ELEMA AB LIFE SUPPORT SYSTEMS DIV
3297,1,78KDJ,Malfunction,,BAXTER HEALTHCARE
3298,1,DRUG ELUTING PERMANENT LEFT VENTRICULAR (LV) PACEMAKER ELECTRODE,Injury,,CARDIAC PACEMAKERS
3299,1,"BYJ UNIT, LIQUID OXYGEN, PORTABLE",Malfunction,,ST. JUDE MEDICAL INC. CRMD
3300,1,BREAST BIOPSY MARKER,Malfunction,OUTPATIENT DIAGNOSTIC FACILITY,MINIMED INC
3301,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,MDT PUERTO RICO OPERATIONS CO
3302,1,RESERVOIR,Malfunction,,STRATO MED. CORP.
3303,1,INFUSION PUMP,Malfunction,,U.S. SURGICAL CORP
3304,1,"COUNTER, DIFFERENTIAL CELL",Malfunction,,ANIMAS CORPORATION
3305,1,INSULIN INFUSION PUMP,Malfunction,,ALCON - IRVINE TECHNOLOGY CENTER
3306,1,IMPLANTABLE PULSE GENERATOR,Injury,HOSPITAL,MDT PUERTO RICO OPERATIONS CO
3307,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
3308,1,INFUSION PUMP,Malfunction,,ROCHE DIAGNOSTICS
3309,1,IMPLANTABLE PACEMAKER PULSE GENERATOR,Malfunction,,DEXCOM INC
3311,1,IMPLANTABLE PACING LEAD,Injury,HOSPITAL,BAXTER HEALTHCARE
3312,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,CARDIAC PACEMAKERS
3313,1,CATHETER,Malfunction,,TERUMO MEDICAL CORPORATION
3314,1,RADIATION THERAPY PLANNING EQUIPMENT,Malfunction,HOSPITAL,"BARD PERIPHERAL VASCULAR SYSTEM, INC."
3315,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,ETHICON
3317,1,INFUSION PUMP,Malfunction,,MEDTRONIC
3318,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Injury,,CARDIAC PACEMAKERS
3319,1,"PUMP, INFUSION, INSULIN",Malfunction,I,GUIDANT
3322,1,AC-POWERED ADJUSTABLE HOSPITAL BED,Malfunction,,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
3324,1,CLIP APPLIER,Malfunction,NOT APPLICABLE,UNITED STATES SURGICAL
3325,1,GLUCOSE MONITORING SYS/KIT,Malfunction,I,BAXTER HEALTHCARE
3326,1,CORONARY DRUG-ELUTING STENT,Malfunction,,ZIMMER INC
3327,1,"SYSTEM, BALLOON, INTRA-AORTIC",Malfunction,HOSPITAL,ETHICON
3328,1,TRANSFER SET,Malfunction,,IPG MFG SWITZERLAND
3329,1,IMPLANTABLE LEAD,Injury,,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
3330,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Injury,,GE OEC MEDICAL SYSTEMS
3331,1,AUTOMATED DIFFERENTIAL CELL COUNTER,Malfunction,,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
3332,1,AUTOMATED HEMATOLOGY ANALYZER,Malfunction,,ABBOTT DIABETES CARE
3333,1,"STIMULATOR, ELECTRICAL, IMPLANTABLE, FOR INCONTINENCE",Injury,,MPRI
3334,1,DBS IPG,Injury,,ANIMAS CORPORATION
3335,1,PICTURE ARCHIVING AND COMMUNICATION,Malfunction,,ABBOTT VASCULAR
3336,1,"CLIP, IMPLANTABLE",Malfunction,,ARTHROCARE CORP
3337,1,,Malfunction,,MDT PUERTO RICO OPERATIONS CO
3338,1,"INSTRUMENT, ULTRASONIC SURGICAL",Malfunction,,STRYKER
3340,1,80FRN,No answer provided,,DEPUY SYNTHES
3341,1,CURVED INTRALUMINAL STAPLER,Malfunction,NOT APPLICABLE,MDT PUERTO RICO OPERATIONS CO
3342,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,BAXTER HEALTHCARE
3343,1,A/C POWERED ADJUSTABLE HOSPITAL BED,Malfunction,,STRYKER
3344,1,INSULIN INFUSION PUMP,Malfunction,,MDT PUERTO RICO OPERATIONS CO
3345,1,"STIMULATOR, ELECTRICAL, IMPLANTABLE, FOR INCONTINENCE",Malfunction,,SYNTHES OBERDORF
3346,1,ELECTROMECHANICAL AMBULATORY INFUSION PUMP,Malfunction,,MDT PUERTO RICO OPERATIONS CO
3348,1,INSULIN INFUSION PUMP,Malfunction,I,DANYANG MAXTHAI MEDICAL EQUIPMENT
3349,1,"VENTILATOR, CONTINUOUS, FACILITY USE",Malfunction,,CPI - DEL CARIBE
3350,1,IMPLANTABLE CLIP,Injury,,MDT PUERTO RICO OPERATIONS CO
3351,1,HOSPITAL WHEELED STRETCHER,Malfunction,,DATASCOPE
3353,1,DRUG-ELUTING PERMANENT DEFIBRILLATOR ELECTRODES,Injury,,DEXCOM INC
3356,1,"PULSE-GENERATOR, PACEMAKER, IMPLANTABLE",Malfunction,,STAAR SURGICAL
3357,1,"CLIP, IMPLANTABLE",Malfunction,,DATASCOPE
3360,1,"PUMP, INFUSION",Malfunction,,STRYKER
3363,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,HOSPITAL,STAAR SURGICAL
3364,1,INFUSION PUMP,Malfunction,,"INTUITIVE SURGICAL, INC"
3365,1,INSULIN INFUSION SET,Injury,OTHER,CPI - DEL CARIBE
3367,1,"DIALYZER, HIGH PERMEABILITY WITH OR WITHOUT SEALED DIALYSATE",Malfunction,HOSPITAL,MEDTRONIC
3368,1,"PUMP, INFUSION",Malfunction,,MEDTRONIC
3369,1,PROGRAMMING COMPUTER,Malfunction,OTHER,MEDCOMP
3371,1,IMPLANTABLE PACING LEAD,Injury,HOSPITAL,MEDTRONIC
3372,1,INFUSION PUMP,Malfunction,,ZOLL
3375,1,CLINICAL CHEMSTRY ANALYZER,Malfunction,,BAXTER HEALTHCARE
3377,1,TRANSFER SET,Malfunction,,ETHICON
3378,1,,Malfunction,OTHER,LIFESCAN INC.
3379,1,"FULL RADIUS BL, 4.5 MM, DSPL., EP-1 / HAB",Malfunction,AMBULATORY SURGICAL FACILITY,HILL-ROM INC
3380,1,DISPOSABLE SURGICAL STAPLER,Malfunction,HOSPITAL,CPI - DEL CARIBE
3383,1,MRM - IMPLANTABLE DEFIBRILLATION LEAD,Malfunction,HOSPITAL,PHILIPS MEDICAL SYSTEMS
3384,1,"STIMULATOR, ELECTRICAL, IMPLANTABLE, FOR INCONTINENCE",Injury,,DEXCOM INC
3386,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,BAXTER HEALTHCARE
3388,1,THUNDERBEAT HANDPIECE,Malfunction,,BAXTER HEALTHCARE
3389,1,SCREW,Malfunction,,MDT PUERTO RICO OPERATIONS CO
3391,1,868.5440,Malfunction,,ETHICON
3392,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,"INTEGRA, CINCINNATI"
3395,1,INSULIN PUMP,Malfunction,I,ROCHE DIAGNOSTICS
3396,1,INFUSION PUMP,Malfunction,,DEPUY ORTHOPAEDICS INC
3398,1,INSTRUMENT,Malfunction,,B BRAUN VENA TECH
3399,1,"ENDOSCOPE, ACCESSORIES",Malfunction,,COOK INC
3400,1,BLOOD GLUCOSE MONITORING KIT/SYSTEM,Malfunction,NOT APPLICABLE,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
3401,1,"DEFIBRILLATOR, AUTOMATIC IMPLANTABLE CARDIOVERTER, WITH CARDIAC RESYNCHRONIZATIO",Injury,,BAXTER HEALTHCARE
3404,1,CLINICAL CHEMISTRY ANALYZER,Malfunction,,VERATHON MEDICAL (CANADA) ULC.
3405,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,BOSTON SCIENTIFIC
3407,1,PELVITEX MESH,Injury,,THORATEC SWITZERLAND GMBH
3408,1,IMPLANTABLE LEAD,Injury,,LIFESCAN INC.
3409,1,IMMUNOCHEMISTRY ANALYZER,Malfunction,LABORATORY,ANIMAS CORPORATION
3410,1,PERMANENT PACEMAKER ELECTRODE,Injury,I,ORTHO-CLINICAL DIAGNOSTICS
3412,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,COVIDIEN
3413,1,"GEL, ULTRASOUND",Injury,HOSPITAL,PHILIPS MEDICAL SYSTEMS
3414,1,FLUOROSCOPIC X-RAY,Malfunction,,BAXTER HEALTHCARE
3415,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,BAXTER HEALTHCARE
3416,1,DEFIBRILLATOR/PACEMAKER,Malfunction,,GUIDANT
3417,1,KRA,Malfunction,,HOSPIRA
3418,1,"ANALYZER, CHEMISTRY (PHOTOMETRIC, DISCRETE), FOR CLINICAL USE",Malfunction,,ARROW INTERNATIONAL
3419,1,"CEMENT, BONE, VERTEBROPLASTY",Malfunction,,MDT PUERTO RICO OPERATIONS CO
3420,1,IMPLANTABLE PACING LEAD,Injury,HOSPITAL,ABBOTT LABORATORIES
3421,1,"STAPLE, IMPLANTABLE",Malfunction,,MEDTRONIC
3422,1,"BATTERY, REPLACEMENT, RECHARGEABLE",Malfunction,I,ROCHE DIAGNOSTICS
3423,1,FIXED CRUCIATE TIBIAL PLATE WITH LOCKING BAR,Injury,HOSPITAL,UNITED STATES SURGICAL
3424,1,"CATHETER, BILIARY, DIAGNOSTIC",Malfunction,,BAUSCH & LOMB
3425,1,"LAPROSCOPE, GENERAL & PLASTIC SURGERY",Malfunction,,AV-TEMECULA-CT
3426,1,BLOOD GLUCOSE MONITORING TEST STRIPS - LFR,Malfunction,OTHER,MAQUET CARDIOPULMONARY AG
3427,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,"ABBOTT MANUFACTURING, INC."
3428,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,PHILIPS HEALTHCARE
3429,1,SUTURE MEDIATED CLOSURE,Injury,I,BAXTER HEALTHCARE
3430,1,"INSTRUMENT, ULTRASONIC SURGICAL",Malfunction,,MENTOR CORP.
3432,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,ROCHE DIAGNOSTICS
3433,1,80MEA,Malfunction,,USSC PUERTO RICO
3435,1,IMPLANTABLE CARDIOVERTOR DEFIBRILLATOR,Injury,HOSPITAL,BAXTER HEALTHCARE
3437,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,BOSTON SCIENTIFIC
3438,1,INFUSION PUMP,Malfunction,,"ALERE SAN DIEGO, INC"
3439,1,IMPLANTABLE PACEMAKER PULSE GENERATOR,Injury,OTHER,MDT POWERED SURGICAL SOLUTIONS
3440,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,ADVANCED BIONICS LLC
3441,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,,BAXTER HEALTHCARE
3442,1,HIGH FLUX DIALYZER,Injury,,CPI - DEL CARIBE
3443,1,VAPR STANDARD ELECTRODE,Malfunction,,INVAMEX
3444,1,A/C POWERED HOSPITAL BED,Malfunction,,ZOLL
3445,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,INVACARE FLORIDA OPERATIONS
3446,1,DEFIBRILLATOR/PACEMAKER,Malfunction,,MDT PUERTO RICO OPERATIONS CO
3447,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,,"MINDRAY DS USA, INC"
3448,1,DEFIB PADDLE,Malfunction,,LIFESCAN INC.
3449,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,ST JUDE MEDICAL - NEUROMODULATION
3450,1,"MCX CATHETER, CORONARY, ATHERECTOMY",Death,,ZOLL
3452,1,INSULIN INFUSION PUMP,Malfunction,,ROCHE DIAGNOSTICS
3453,1,"SET, ADMINISTRATION, FOR PERITONEAL DIALYSIS, DISPOSABLE",Malfunction,,STRYKER
3456,1,IMPLANTABLE PACEMAKER/CARDIO/DEFIB,Injury,HOSPITAL,MEDTRONIC
3458,1,GASTROINTESTINAL TUBE & ACCESSORIES,Malfunction,,RESMED LTD.
3459,1,POWERED LASER SURGICAL INSTRUMENT,Malfunction,HOSPITAL,LIFESCAN INC.
3460,1,,Malfunction,,SHARP CORPORATION OSAKA JAPAN
3461,1,GLUCOSE MONITORING SYS/KIT,Malfunction,OTHER,BAXTER HEALTHCARE
